DDI,sequence_num,auc,blAUC,diffAUC
PF00087.13_int_PF00087.13,10,0.996,0.987,0.009
PF00087.13_int_PF00087.13,12,0.866,0.793,0.073
PF00087.13_int_PF00087.13,16,0.92,0.877,0.043
PF00104.22_int_PF08832.2,1,0.94,0.954,-0.014
PF00104.22_int_PF08832.2,4,0.943,0.965,-0.022
PF00104.22_int_PF08832.2,9,0.943,0.879,0.064
PF00104.22_int_PF08832.2,11,0.943,0.889,0.054
PF00127.12_int_PF06433.3,1,1.0,1.0,0.0
PF00127.12_int_PF06433.3,15,1.0,1.0,0.0
PF00127.12_int_PF06433.3,27,1.0,1.0,0.0
PF00149.20_int_PF08321.4,1,0.939,0.861,0.078
PF00149.20_int_PF08321.4,3,0.939,0.951,-0.012
PF00167.10_int_PF07679.8,1,0.88,0.947,-0.067
PF00167.10_int_PF07679.8,2,0.979,0.924,0.055
PF00167.10_int_PF07679.8,6,0.835,0.82,0.015
PF00167.10_int_PF07679.8,7,0.922,0.945,-0.023
PF00167.10_int_PF07679.8,11,1.0,0.966,0.034
PF00167.10_int_PF07679.8,24,0.895,0.968,-0.073
PF00167.10_int_PF07679.8,25,0.908,0.893,0.015
PF00167.10_int_PF07679.8,26,0.976,0.979,-0.003
PF00243.10_int_PF00243.10,1,0.89,0.879,0.011
PF00243.10_int_PF00243.10,2,0.922,0.922,0.0
PF00243.10_int_PF00243.10,3,0.916,0.875,0.041
PF00243.10_int_PF00243.10,4,0.66,0.54,0.12
PF00243.10_int_PF00243.10,7,0.883,0.854,0.029
PF00243.10_int_PF00243.10,8,0.919,0.906,0.013
PF00243.10_int_PF00243.10,12,0.939,0.928,0.011
PF00254.20_int_PF00254.20,1,0.849,0.919,-0.07
PF00254.20_int_PF00254.20,7,0.859,0.82,0.039
PF00254.20_int_PF00254.20,9,0.855,0.581,0.274
PF00254.20_int_PF00254.20,15,0.797,0.797,0.0
PF00254.20_int_PF00254.20,16,0.615,0.675,-0.06
PF00254.20_int_PF00254.20,18,0.851,0.826,0.025
PF00385.16_int_PF00385.16,1,1.0,1.0,0.0
PF00385.16_int_PF00385.16,11,0.94,0.97,-0.03
PF00385.16_int_PF00385.16,13,0.975,0.889,0.086
PF00385.16_int_PF00385.16,17,0.858,0.898,-0.04
PF00385.16_int_PF00385.16,18,0.812,0.881,-0.069
PF00385.16_int_PF00385.16,19,0.931,0.936,-0.005
PF00393.11_int_PF00393.11,1,0.843,0.841,0.002
PF00393.11_int_PF00393.11,2,0.918,0.86,0.058
PF00393.11_int_PF00393.11,5,0.929,0.921,0.008
PF00393.11_int_PF00393.11,7,0.936,0.914,0.022
PF00393.11_int_PF00393.11,11,0.928,0.937,-0.009
PF00511.9_int_PF00511.9,1,0.994,0.999,-0.005
PF00511.9_int_PF00511.9,2,0.986,0.989,-0.003
PF00511.9_int_PF00511.9,3,1.0,0.999,0.001
PF00511.9_int_PF00511.9,7,0.976,1.0,-0.024
PF00511.9_int_PF00511.9,9,0.986,0.926,0.06
PF00511.9_int_PF00511.9,15,0.979,0.949,0.03
PF00563.12_int_PF00563.12,1,0.497,0.62,-0.123
PF00563.12_int_PF00563.12,2,0.45,0.661,-0.211
PF00563.12_int_PF00563.12,4,0.597,0.64,-0.043
PF00563.12_int_PF00563.12,9,0.43,0.264,0.166
PF00617.11_int_PF00618.12,1,0.988,0.986,0.002
PF00617.11_int_PF00618.12,11,0.958,0.952,0.006
PF00711.11_int_PF00711.11,1,0.639,0.778,-0.139
PF00711.11_int_PF00711.11,23,0.93,0.84,0.09
PF00712.11_int_PF02768.7,1,0.994,0.99,0.004
PF00712.11_int_PF02768.7,7,0.997,0.995,0.002
PF00712.11_int_PF02768.7,9,1.0,1.0,0.0
PF00782.12_int_PF00782.12,1,0.972,1.0,-0.028
PF00782.12_int_PF00782.12,2,0.734,0.97,-0.236
PF00782.12_int_PF00782.12,3,0.273,0.455,-0.182
PF00782.12_int_PF00782.12,4,0.707,0.898,-0.191
PF00782.12_int_PF00782.12,7,0.832,0.852,-0.02
PF00782.12_int_PF00782.12,11,0.868,0.904,-0.036
PF00782.12_int_PF00782.12,13,0.8,0.893,-0.093
PF00782.12_int_PF00782.12,18,0.835,0.893,-0.058
PF00051.10_int_PF00051.10,0.73875,0.88425,-0.1455
PF00782.12_int_PF00782.12,0.752625,0.858125,-0.1055
PF00017.16_int_PF00018.20,0.864111111111,0.929333333333,-0.0652222222222
PF00028.9_int_PF00028.9,0.78275,0.836125,-0.053375
PF00563.12_int_PF00563.12,0.4935,0.54625,-0.05275
PF00711.11_int_PF00711.11,0.7845,0.809,-0.0245
PF00004.21_int_PF09336.2,0.928666666667,0.952666666667,-0.024
PF00033.11_int_PF02271.8,0.977,1.0,-0.023
PF00032.9_int_PF02939.8,0.96825,0.98725,-0.019
PF00033.11_int_PF00355.18,0.983285714286,0.998571428571,-0.0152857142857
PF00087.13_int_PF00087.13,0.8572,0.8688,-0.0116
PF00385.16_int_PF00385.16,0.919333333333,0.929,-0.00966666666667
PF00167.10_int_PF07679.8,0.924375,0.93025,-0.005875
PF00033.11_int_PF02939.8,1.0,1.0,0.0
PF00034.13_int_PF02239.8,1.0,1.0,0.0
PF00127.12_int_PF06433.3,1.0,1.0,0.0
PF00032.9_int_PF02271.8,0.99775,0.99625,0.0015
PF00712.11_int_PF02768.7,0.997,0.995,0.002
PF00617.11_int_PF00618.12,0.973,0.969,0.004
PF00511.9_int_PF00511.9,0.986833333333,0.977,0.00983333333333
PF00025.13_int_PF00025.13,0.928777777778,0.915666666667,0.0131111111111
PF00081.14_int_PF00081.14,0.9585,0.944125,0.014375
PF00393.11_int_PF00393.11,0.9108,0.8946,0.0162
PF00104.22_int_PF08832.2,0.94225,0.92175,0.0205
PF00033.11_int_PF00033.11,0.989,0.966,0.023
PF00243.10_int_PF00243.10,0.875571428571,0.843428571429,0.0321428571429
PF00149.20_int_PF08321.4,0.939,0.906,0.033
PF00254.20_int_PF00254.20,0.804333333333,0.769666666667,0.0346666666667
PF00074.12_int_PF07686.9,0.958,0.898333333333,0.0596666666667
PF00034.13_int_PF00141.15,0.992,0.8725,0.1195
