Ribosomal_L28_int_Ribosomal_L9_N, seqPair 1, auc = 0.796, sens = 0.571, spec = 1.000, blAUC = 0.959, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 6, auc = 1.000, sens = 1.000, spec = 0.778, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 7, auc = 1.000, sens = 0.875, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 9, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 5, auc = 0.812, sens = 0.833, spec = 0.909, blAUC = 0.938, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 5, auc = 1.000, sens = 0.667, spec = 1.000, blAUC = 0.778, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 7, auc = 0.640, sens = 0.600, spec = 1.000, blAUC = 0.800, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 7, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 5, auc = 0.959, sens = 1.000, spec = 0.917, blAUC = 0.950, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 10, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 8, auc = 0.941, sens = 0.769, spec = 0.909, blAUC = 0.929, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 8, auc = 0.640, sens = 0.200, spec = 0.500, blAUC = 0.600, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 8, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 6, auc = 0.947, sens = 1.000, spec = 0.929, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 11, auc = 0.688, sens = 0.667, spec = 0.800, blAUC = 0.840, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 6, auc = 0.970, sens = 0.538, spec = 1.000, blAUC = 0.882, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 9, auc = 0.497, sens = 0.077, spec = 1.000, blAUC = 0.905, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 6, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 12, auc = 0.806, sens = 1.000, spec = 0.600, blAUC = 0.972, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 9, auc = 0.160, sens = 0.000, spec = 0.000, blAUC = 0.400, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 9, auc = 1.000, sens = 1.000, spec = 0.778, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 10, auc = 0.918, sens = 0.500, spec = 1.000, blAUC = 0.973, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 7, auc = 0.984, sens = 0.875, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 7, auc = 1.000, sens = 0.500, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 13, auc = 0.898, sens = 0.571, spec = 0.800, blAUC = 0.776, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 2, auc = 0.562, sens = 0.108, spec = 1.000, blAUC = 0.687, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 10, auc = 0.673, sens = 0.143, spec = 1.000, blAUC = 0.367, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 10, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 7, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 11, auc = 0.924, sens = 0.833, spec = 1.000, blAUC = 0.854, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 14, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 8, auc = 0.984, sens = 1.000, spec = 0.889, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 11, auc = 0.750, sens = 0.500, spec = 1.000, blAUC = 0.778, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 11, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 15, auc = 1.000, sens = 1.000, spec = 0.500, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 12, auc = 0.980, sens = 0.857, spec = 1.000, blAUC = 0.878, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 8, auc = 0.967, sens = 0.455, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 12, auc = 0.715, sens = 0.700, spec = 0.667, blAUC = 0.733, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 16, auc = 0.857, sens = 0.714, spec = 1.000, blAUC = 0.898, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 12, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 9, auc = 0.931, sens = 1.000, spec = 0.857, blAUC = 0.938, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 13, auc = 0.917, sens = 0.583, spec = 1.000, blAUC = 0.917, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 9, auc = 0.691, sens = 0.556, spec = 0.714, blAUC = 0.741, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 17, auc = 0.864, sens = 0.667, spec = 0.857, blAUC = 0.963, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 13, auc = 0.645, sens = 0.136, spec = 0.750, blAUC = 0.589, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 13, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 14, auc = 0.938, sens = 0.500, spec = 1.000, blAUC = 0.984, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 9, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 10, auc = 0.699, sens = 0.357, spec = 0.714, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 10, auc = 0.861, sens = 0.917, spec = 0.733, blAUC = 0.715, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 18, auc = 0.672, sens = 0.750, spec = 0.600, blAUC = 0.812, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 14, auc = 0.639, sens = 0.500, spec = 1.000, blAUC = 0.500, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 15, auc = 0.986, sens = 0.917, spec = 0.846, blAUC = 0.924, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 14, auc = 1.000, sens = 1.000, spec = 0.857, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 19, auc = 0.980, sens = 0.700, spec = 1.000, blAUC = 0.880, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 10, auc = 1.000, sens = 1.000, spec = 0.929, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 11, auc = 1.000, sens = 1.000, spec = 0.889, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 15, auc = 0.901, sens = 0.273, spec = 1.000, blAUC = 0.876, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 3, auc = 0.858, sens = 0.600, spec = 0.900, blAUC = 0.929, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 16, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 11, auc = 1.000, sens = 0.900, spec = 1.000, blAUC = 0.890, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 15, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 20, auc = 0.815, sens = 1.000, spec = 0.818, blAUC = 0.901, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 16, auc = 0.481, sens = 0.556, spec = 0.556, blAUC = 0.679, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 17, auc = 0.852, sens = 0.429, spec = 1.000, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 21, auc = 0.753, sens = 0.667, spec = 0.667, blAUC = 0.716, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 11, auc = 0.988, sens = 1.000, spec = 0.867, blAUC = 0.988, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 12, auc = 0.938, sens = 1.000, spec = 0.900, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 16, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 12, auc = 1.000, sens = 0.750, spec = 1.000, blAUC = 0.984, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 17, auc = 0.980, sens = 1.000, spec = 0.875, blAUC = 0.980, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 22, auc = 0.766, sens = 1.000, spec = 0.727, blAUC = 0.828, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 18, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 17, auc = 1.000, sens = 1.000, spec = 0.750, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 13, auc = 0.740, sens = 0.357, spec = 0.833, blAUC = 0.694, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 12, auc = 0.959, sens = 0.727, spec = 1.000, blAUC = 0.893, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 23, auc = 1.000, sens = 0.667, spec = 1.000, blAUC = 0.815, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 18, auc = 0.800, sens = 0.800, spec = 0.889, blAUC = 0.770, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 13, auc = 0.802, sens = 0.000, spec = 0.000, blAUC = 0.951, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 19, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.859, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 18, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 24, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 14, auc = 0.796, sens = 0.643, spec = 0.900, blAUC = 0.898, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 19, auc = 0.551, sens = 0.143, spec = 0.333, blAUC = 0.143, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 20, auc = 0.898, sens = 0.429, spec = 0.750, blAUC = 0.980, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 13, auc = 1.000, sens = 0.933, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 19, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 14, auc = 1.000, sens = 1.000, spec = 0.500, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 25, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 21, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.953, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 20, auc = 0.830, sens = 0.700, spec = 1.000, blAUC = 0.890, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 15, auc = 0.944, sens = 1.000, spec = 0.857, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 4, auc = 0.390, sens = 0.100, spec = 0.500, blAUC = 0.480, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 20, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 26, auc = 0.766, sens = 0.625, spec = 0.833, blAUC = 0.922, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 14, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 15, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 21, auc = 0.830, sens = 0.800, spec = 1.000, blAUC = 0.950, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 27, auc = 0.870, sens = 0.700, spec = 1.000, blAUC = 0.870, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 1, auc = 0.895, sens = 0.818, spec = 0.857, blAUC = 0.882, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 21, auc = 0.734, sens = 0.692, spec = 1.000, blAUC = 0.775, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 16, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 22, auc = 1.000, sens = 0.778, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 15, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 16, auc = 1.000, sens = 0.500, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 22, auc = 1.000, sens = 0.727, spec = 1.000, blAUC = 0.826, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 2, auc = 1.000, sens = 0.625, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 23, auc = 0.844, sens = 0.875, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 17, auc = 1.000, sens = 1.000, spec = 0.824, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 23, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.988, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 16, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 17, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 3, auc = 1.000, sens = 1.000, spec = 0.957, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 1, auc = 0.577, sens = 0.192, spec = 0.833, blAUC = 0.571, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 24, auc = 0.680, sens = 0.600, spec = 1.000, blAUC = 0.520, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 24, auc = 0.958, sens = 0.917, spec = 0.917, blAUC = 0.924, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 18, auc = 0.995, sens = 1.000, spec = 0.933, blAUC = 0.985, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 25, auc = 1.000, sens = 1.000, spec = 0.667, blAUC = 0.375, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 18, auc = 1.000, sens = 0.000, spec = 0.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 17, auc = 0.985, sens = 0.929, spec = 0.929, blAUC = 0.980, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 25, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 5, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 19, auc = 0.917, sens = 0.333, spec = 1.000, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 26, auc = 0.667, sens = 0.000, spec = 0.000, blAUC = 0.444, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 5, auc = 0.948, sens = 1.000, spec = 0.870, blAUC = 0.927, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 26, auc = 0.870, sens = 0.692, spec = 1.000, blAUC = 0.947, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 19, auc = 0.359, sens = 0.375, spec = 0.750, blAUC = 0.859, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 18, auc = 0.996, sens = 0.938, spec = 0.938, blAUC = 0.988, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 2, auc = 0.937, sens = 0.793, spec = 0.920, blAUC = 0.905, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 27, auc = 0.857, sens = 0.571, spec = 1.000, blAUC = 0.969, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 20, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 27, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 6, auc = 0.918, sens = 0.429, spec = 1.000, blAUC = 0.898, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 20, auc = 1.000, sens = 0.000, spec = 0.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 19, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 28, auc = 0.531, sens = 0.125, spec = 1.000, blAUC = 0.844, blSens = 0.000, blSpec = 0.000.
