DDI,sequence_num,auc,blAUC,diffAUC
PF00254.20_int_PF00254.20,7,0.727,0.555,0.172
PF00254.20_int_PF00254.20,9,0.541,0.461,0.08
PF00254.20_int_PF00254.20,15,0.734,0.672,0.062
PF00254.20_int_PF00254.20,16,0.527,0.383,0.144
PF00254.20_int_PF00254.20,18,0.942,0.901,0.041
PF00385.16_int_PF00385.16,1,0.917,1.0,-0.083
PF00385.16_int_PF00385.16,11,0.94,1.0,-0.06
PF00385.16_int_PF00385.16,13,0.469,0.296,0.173
PF00385.16_int_PF00385.16,17,0.864,0.855,0.009
PF00385.16_int_PF00385.16,18,0.903,0.648,0.255
PF00385.16_int_PF00385.16,19,0.798,0.69,0.108
PF00393.11_int_PF00393.11,1,0.835,0.885,-0.05
PF00393.11_int_PF00393.11,2,0.883,0.951,-0.068
PF00393.11_int_PF00393.11,5,0.923,0.972,-0.049
PF00393.11_int_PF00393.11,7,0.907,0.947,-0.04
PF00393.11_int_PF00393.11,11,0.934,0.974,-0.04
PF00511.9_int_PF00511.9,1,0.989,0.943,0.046
PF00511.9_int_PF00511.9,2,0.996,0.988,0.008
PF00511.9_int_PF00511.9,3,0.992,0.996,-0.004
PF00511.9_int_PF00511.9,7,0.987,0.991,-0.004
PF00511.9_int_PF00511.9,9,0.928,0.932,-0.004
PF00511.9_int_PF00511.9,15,0.967,0.978,-0.011
PF00563.12_int_PF00563.12,1,0.773,0.892,-0.119
PF00563.12_int_PF00563.12,2,0.825,0.882,-0.057
PF00563.12_int_PF00563.12,4,0.874,0.872,0.002
PF00563.12_int_PF00563.12,9,0.37,0.367,0.003
PF00617.11_int_PF00618.12,1,0.996,0.96,0.036
PF00617.11_int_PF00618.12,11,0.952,0.925,0.027
PF00711.11_int_PF00711.11,1,0.667,0.556,0.111
PF00711.11_int_PF00711.11,23,0.51,0.48,0.03
PF00712.11_int_PF02768.7,1,0.991,0.964,0.027
PF00712.11_int_PF02768.7,7,1.0,0.994,0.006
PF00712.11_int_PF02768.7,9,0.97,0.995,-0.025
PF00782.12_int_PF00782.12,1,0.778,0.278,0.5
PF00782.12_int_PF00782.12,2,0.763,0.793,-0.03
PF00782.12_int_PF00782.12,3,0.702,0.504,0.198
PF00782.12_int_PF00782.12,4,0.75,0.285,0.465
PF00782.12_int_PF00782.12,7,0.827,0.429,0.398
PF00782.12_int_PF00782.12,11,0.594,0.737,-0.143
PF00782.12_int_PF00782.12,13,0.604,0.809,-0.205
PF00782.12_int_PF00782.12,18,0.81,0.785,0.025
PF00149.20_int_PF08321.4,0.92,0.973,-0.053
PF00243.10_int_PF00243.10,0.887142857143,0.938,-0.0508571428571
PF00393.11_int_PF00393.11,0.8964,0.9458,-0.0494
PF00563.12_int_PF00563.12,0.7105,0.75325,-0.04275
PF00167.10_int_PF07679.8,0.946125,0.96375,-0.017625
PF00051.10_int_PF00051.10,0.645125,0.655625,-0.0105
PF00004.21_int_PF09336.2,0.940666666667,0.949333333333,-0.00866666666667
PF00087.13_int_PF00087.13,0.785,0.7926,-0.0076
PF00033.11_int_PF02271.8,0.994666666667,1.0,-0.00533333333333
PF00032.9_int_PF02939.8,0.995,0.9925,0.0025
PF00712.11_int_PF02768.7,0.987,0.984333333333,0.00266666666667
PF00511.9_int_PF00511.9,0.9765,0.971333333333,0.00516666666667
PF00104.22_int_PF08832.2,0.98375,0.97475,0.009
PF00081.14_int_PF00081.14,0.95625,0.9435,0.01275
PF00033.11_int_PF00033.11,0.9825,0.968833333333,0.0136666666667
PF00033.11_int_PF00355.18,0.997714285714,0.983714285714,0.014
PF00032.9_int_PF02271.8,0.99925,0.98525,0.014
PF00033.11_int_PF02939.8,1.0,0.981333333333,0.0186666666667
PF00617.11_int_PF00618.12,0.974,0.9425,0.0315
PF00034.13_int_PF02239.8,0.992,0.951,0.041
PF00034.13_int_PF00141.15,0.9845,0.938,0.0465
PF00385.16_int_PF00385.16,0.815166666667,0.748166666667,0.067
PF00025.13_int_PF00025.13,0.850222222222,0.782111111111,0.0681111111111
PF00711.11_int_PF00711.11,0.5885,0.518,0.0705
PF00028.9_int_PF00028.9,0.613625,0.52375,0.089875
PF00254.20_int_PF00254.20,0.7095,0.610333333333,0.0991666666667
PF00127.12_int_PF06433.3,1.0,0.867,0.133
PF00782.12_int_PF00782.12,0.7285,0.5775,0.151
PF00074.12_int_PF07686.9,0.894333333333,0.742333333333,0.152
PF00017.16_int_PF00018.20,0.797888888889,0.630555555556,0.167333333333
