SeqA	SeqB	Score
2	42	0.63601
2	43	0.52556
2	44	0.25962
2	45	0.051171
2	46	0.73195
2	47	0.16429
2	48	0.2804
2	49	0.25943
2	50	0.5471
2	51	0.54127
2	52	0.78811
2	53	0.86961
2	54	0.78754
2	55	0.96943
2	56	0.18047
2	57	0.9306
2	58	0.045152
2	59	0.24065
2	60	0.008855
2	61	0.67159
2	62	0.90481
2	63	0.57242
2	64	0.15546
2	65	0.50237
2	66	0.56773
2	67	0.18827
2	68	0.3242
2	69	0.71604
2	70	0.55293
2	71	0.14228
2	72	0.38036
2	73	0.39657
2	74	0.57674
2	75	0.019402
2	76	0.57758
2	77	0.9322
2	78	0.10687
2	79	0.73215
2	80	0.97052
2	81	0.60889
2	82	0.71967
2	83	0.30275
2	84	0.45902
2	85	0.048029
2	86	0.38535
2	87	0.36172
2	88	0.28758
2	89	0.81671
2	90	0.45053
2	91	0.80663
2	92	0.79017
2	93	0.28296
2	94	0.068309
2	95	0.054931
2	96	0.63752
2	97	0.42429
2	98	0.90553
2	99	0.41732
2	100	0.15406
2	101	0.54
2	102	0.93709
2	103	0.66096
2	104	0.39466
2	105	0.25899
2	106	0.84791
2	107	0.94506
2	108	0.377
2	109	0.06728
2	110	0.18158
2	111	0.57575
2	112	0.18589
2	113	0.29145
2	114	0.46166
2	115	0.34698
2	116	0.31817
2	117	0.45991
2	118	0.23589
2	119	0.027752
2	120	0.65845
2	121	0.1588
2	122	0.80266
2	123	0.40858
2	124	0.32739
2	125	0.74601
2	126	0.74635
2	127	0.17395
2	128	0.11754
2	129	0.17404
2	130	0.62741
2	131	0.84189
2	132	0.51008
2	133	0.16576
2	134	0.71431
2	135	0.90704
2	136	0.21854
2	137	0.87096
2	138	0.21184
2	139	0.83666
2	140	0.8593
2	141	0.52338
3	1	0.47736
3	2	0.88988
3	3	0.065076
3	4	0.50946
3	5	0.6208
3	6	0.73357
3	7	0.23
3	8	0.021872
3	9	0.13899
3	10	0.76951
3	11	0.96977
3	12	0.38679
3	13	0.99343
3	14	0.32639
3	15	0.13716
3	16	0.38475
3	17	0.56264
3	18	0.63384
3	19	0.54161
3	20	0.31499
3	21	0.15933
3	22	0.15262
3	23	0.13695
3	24	0.7098
3	25	0.46486
3	26	0.11327
3	27	0.70088
3	28	0.17999
3	29	0.80367
3	30	0.51396
3	31	0.54844
3	32	0.20784
3	33	0.78459
3	34	0.52649
3	35	0.57102
3	36	0.42204
3	37	0.72116
3	38	0.073138
3	39	0.59486
3	40	0.86198
3	41	0.4488
3	42	0.65258
3	43	0.30347
3	44	0.60744
3	45	0.2789
3	46	0.79956
3	47	0.79617
3	48	0.95409
3	49	0.44434
3	50	0.45688
3	51	0.59982
3	52	0.84262
3	53	0.0312
3	54	0.18727
3	55	0.94359
3	56	0.94792
3	57	0.45298
3	58	0.81083
3	59	0.92888
3	60	0.67272
3	61	0.37233
3	62	0.4057
3	63	0.43882
3	64	0.67865
3	65	0.46507
3	66	0.95326
3	67	0.3547
3	68	0.33902
3	69	0.89586
3	70	0.54543
3	71	0.74928
3	72	0.12488
3	73	0.45323
3	74	0.074749
3	75	0.66334
3	76	0.70365
3	77	0.91895
3	78	0.66007
3	79	0.6901
3	80	0.85372
3	81	0.4679
3	82	0.45848
3	83	0.8061
3	84	0.82477
3	85	0.19044
3	86	0.025673
3	87	0.056815
3	88	0.14294
3	89	0.17142
3	90	0.62584
3	91	0.029515
3	92	0.47233
3	93	0.67844
3	94	0.11479
3	95	0.23606
3	96	0.28908
3	97	0.17276
3	98	0.32371
3	99	0.80111
3	100	0.29963
3	101	0.77563
3	102	0.55277
3	103	0.55469
3	104	0.73065
3	105	0.77362
3	106	0.90085
3	107	0.13817
3	108	0.79408
3	109	0.18941
3	110	0.028974
3	111	0.12739
3	112	0.13374
3	113	0.12831
3	114	0.93526
3	115	0.27323
3	116	0.94268
3	117	0.63815
3	118	0.87253
3	119	0.36707
3	120	0.2362
3	121	0.18732
3	122	0.54565
3	123	0.25512
3	124	0.30582
3	125	0.015549
3	126	0.58749
3	127	0.96256
3	128	0.84985
3	129	0.0079403
3	130	0.63403
3	131	0.35929
3	132	0.11406
3	133	0.54082
3	134	0.41642
3	135	0.5171
3	136	0.88612
3	137	0.1494
3	138	0.43468
3	139	0.059039
3	140	0.38103
3	141	0.72237
4	1	0.095119
4	2	0.66719
4	3	0.2964
4	4	0.59856
4	5	0.15185
4	6	0.43638
4	7	0.012682
4	8	0.22902
4	9	0.26368
4	10	0.51139
4	11	0.21508
4	12	0.34611
4	13	0.74782
4	14	0.41362
4	15	0.055753
4	16	0.39003
4	17	0.47448
4	18	0.82532
4	19	0.30364
4	20	0.82179
4	21	0.56568
4	22	0.054382
4	23	0.26001
4	24	0.5891
4	25	0.47973
4	26	0.19865
4	27	0.23901
4	28	0.78019
4	29	0.61731
4	30	0.14413
4	31	0.71613
4	32	0.40151
4	33	0.46239
4	34	0.70728
4	35	0.40121
4	36	0.014385
4	37	0.07464
4	38	0.59107
4	39	0.446
4	40	0.92662
4	41	0.094893
4	42	0.37542
4	43	0.546
4	44	0.11168
4	45	0.90446
4	46	0.63328
4	47	0.90541
4	48	0.63055
4	49	0.014228
4	50	0.31648
4	51	0.11187
4	52	0.62946
4	53	0.060709
4	54	0.67399
4	55	0.47744
4	56	0.30555
4	57	0.51633
4	58	0.70703
4	59	0.81361
4	60	0.31581
4	61	0.3113
4	62	0.34498
4	63	0.6663
4	64	0.86107
4	65	0.76178
4	66	0.87584
4	67	0.87124
4	68	0.17279
4	69	0.85022
4	70	0.95959
4	71	0.77021
4	72	0.87502
4	73	0.067413
4	74	0.64679
4	75	0.3241
4	76	0.64035
4	77	0.87975
4	78	0.37364
4	79	0.76674
4	80	0.16809
4	81	0.51972
4	82	0.62746
4	83	0.71391
4	84	0.3064
4	85	0.26369
4	86	0.916
4	87	0.61503
4	88	0.093175
4	89	0.6277
4	90	0.19203
4	91	0.77696
4	92	0.8645
4	93	0.33358
4	94	0.13541
4	95	0.76547
4	96	0.31861
4	97	0.25238
4	98	0.20007
4	99	0.06901
4	100	0.55191
4	101	0.40381
4	102	0.75012
4	103	0.48718
4	104	0.38479
4	105	0.061409
4	106	0.21369
4	107	0.54387
4	108	0.41064
4	109	0.90096
4	110	0.05629
4	111	0.44351
4	112	0.53781
4	113	0.13406
4	114	0.54095
4	115	0.85737
4	116	0.19802
4	117	0.15561
4	118	0.061378
4	119	0.66107
4	120	0.018603
4	121	0.2911
4	122	0.97382
4	123	0.76464
4	124	0.24368
4	125	0.68212
4	126	0.13785
4	127	0.62981
4	128	0.85701
4	129	0.8998
4	130	0.34837
4	131	0.48631
4	132	0.67952
4	133	0.70412
4	134	0.46088
4	135	0.36427
4	136	0.28027
4	137	0.076204
4	138	0.44462
4	139	0.16571
4	140	0.39875
4	141	0.92058
5	1	0.51133
5	2	0.91414
5	3	0.091934
5	4	0.99304
5	5	0.096434
5	6	0.31315
5	7	0.78538
5	8	0.6024
5	9	0.46591
5	10	0.29813
5	11	0.13317
5	12	0.29501
5	13	0.16663
5	14	0.3171
5	15	0.10984
5	16	0.83209
5	17	0.97159
5	18	0.21827
5	19	0.70608
5	20	0.039014
5	21	0.6163
5	22	0.66936
5	23	0.037202
5	24	0.0033346
5	25	0.14246
5	26	0.86241
5	27	0.27604
5	28	0.53169
5	29	0.52222
5	30	0.56762
5	31	0.33303
5	32	0.41342
5	33	0.41435
5	34	0.98392
5	35	0.057739
5	36	0.39654
5	37	0.79132
5	38	0.59419
5	39	0.30956
5	40	0.9018
5	41	0.093127
5	42	0.31903
5	43	0.88696
5	44	0.65743
5	45	0.68452
5	46	0.47395
5	47	0.14124
5	48	0.95092
5	49	0.88263
5	50	0.43744
5	51	0.83496
5	52	0.32514
5	53	0.36764
5	54	0.79484
5	55	0.099309
5	56	0.95178
5	57	0.0014739
5	58	0.2954
5	59	0.048455
5	60	0.44274
5	61	0.78985
5	62	0.91352
5	63	0.53325
5	64	0.80408
5	65	0.56266
5	66	0.75088
5	67	0.0092304
5	68	0.47678
5	69	0.25033
5	70	0.30792
5	71	0.96695
5	72	0.2088
5	73	0.52048
5	74	0.22555
5	75	0.5672
5	76	0.99816
5	77	0.13187
5	78	0.95468
5	79	0.12388
5	80	0.18624
5	81	0.6465
5	82	0.12817
5	83	0.081321
5	84	0.65923
5	85	0.027399
5	86	0.98518
5	87	0.53933
5	88	0.37383
5	89	0.70673
5	90	0.94741
5	91	0.38228
5	92	0.69291
5	93	0.60207
5	94	0.77526
5	95	0.59183
5	96	0.37618
5	97	0.85065
5	98	0.22574
5	99	0.79696
5	100	0.99688
5	101	0.28131
5	102	0.71038
5	103	0.66464
5	104	0.41484
5	105	0.49827
5	106	0.94912
5	107	0.95318
5	108	0.73292
5	109	0.38468
5	110	0.040083
5	111	0.58293
5	112	0.56471
5	113	0.35518
5	114	0.8802
5	115	0.62453
5	116	0.62402
5	117	0.29574
5	118	0.07468
5	119	0.29371
5	120	0.23474
5	121	0.3459
5	122	0.84849
5	123	0.16036
5	124	0.15786
5	125	0.50866
5	126	0.6033
5	127	0.1614
5	128	0.63545
5	129	0.84394
5	130	0.78227
5	131	0.26457
5	132	0.3147
5	133	0.1832
5	134	0.44747
5	135	0.32668
5	136	0.27982
5	137	0.93176
5	138	0.39969
5	139	0.37942
5	140	0.59285
5	141	0.068507
6	1	0.20524
6	2	0.72362
6	3	0.57515
6	4	0.20023
6	5	0.84348
6	6	0.42373
6	7	0.54475
6	8	0.52797
6	9	0.18511
6	10	0.08169
6	11	0.46409
6	12	0.030555
6	13	0.43498
6	14	0.55786
6	15	0.63878
6	16	0.034217
6	17	0.7099
6	18	0.16932
6	19	0.59338
6	20	0.60806
6	21	0.77236
6	22	0.056274
6	23	0.85473
6	24	0.38428
6	25	0.39962
6	26	0.32542
6	27	0.55539
6	28	0.29542
6	29	0.36612
6	30	0.34905
6	31	0.63022
6	32	0.66444
6	33	0.9921
6	34	0.94436
6	35	0.35035
6	36	0.193
6	37	0.91958
6	38	0.28869
6	39	0.55086
6	40	0.91932
6	41	0.090049
6	42	0.2577
6	43	0.42705
6	44	0.57772
6	45	0.89952
6	46	0.21823
6	47	0.96703
6	48	0.43398
6	49	0.78482
6	50	0.52523
6	51	0.33128
6	52	0.43159
6	53	0.7179
6	54	0.91621
6	55	0.89003
6	56	0.13471
6	57	0.11991
6	58	0.89345
6	59	0.65309
6	60	0.040278
6	61	0.50472
6	62	0.89445
6	63	0.38573
6	64	0.29205
6	65	0.23404
6	66	0.20095
6	67	0.38031
6	68	0.59479
6	69	0.26839
6	70	0.62244
6	71	0.80457
6	72	0.10397
6	73	0.72924
6	74	0.64859
6	75	0.47465
6	76	0.93291
6	77	0.096444
6	78	0.59911
6	79	0.23356
6	80	0.032328
6	81	0.57986
6	82	0.8422
6	83	0.5569
6	84	0.83988
6	85	0.20495
6	86	0.62125
6	87	0.17402
6	88	0.28954
6	89	0.018503
6	90	0.7015
6	91	0.95209
6	92	0.74901
6	93	0.75673
6	94	0.54209
6	95	0.28206
6	96	0.24487
6	97	0.28632
6	98	0.96313
6	99	0.2307
6	100	0.53732
6	101	0.20501
6	102	0.43404
6	103	0.14221
6	104	0.37558
6	105	0.79356
6	106	0.81282
6	107	0.90379
6	108	0.54038
6	109	0.81786
6	110	0.70842
6	111	0.043209
6	112	0.14595
6	113	0.23334
6	114	0.2467
6	115	0.17028
6	116	0.23506
6	117	0.27546
6	118	0.95161
6	119	0.34667
6	120	0.29732
6	121	0.40443
6	122	0.30224
6	123	0.75731
6	124	0.35974
6	125	0.1249
6	126	0.61718
6	127	0.35552
6	128	0.36294
6	129	0.068488
6	130	0.86716
6	131	0.4579
6	132	0.077615
6	133	0.90492
6	134	0.2817
6	135	0.61388
6	136	0.66186
6	137	0.20002
6	138	0.95999
6	139	0.66511
6	140	0.5413
6	141	0.86897
7	1	0.55705
7	2	0.021398
7	3	0.48268
7	4	0.80799
7	5	0.73601
7	6	0.5723
7	7	0.0089849
7	8	0.71828
7	9	0.44943
7	10	0.65962
7	11	0.75321
7	12	0.80474
7	13	0.029156
7	14	0.77982
7	15	0.56735
7	16	0.076117
7	17	0.25162
7	18	0.13345
7	19	0.56447
7	20	0.54098
7	21	0.068921
7	22	0.98843
7	23	0.2511
7	24	0.31547
7	25	0.30066
7	26	0.042039
7	27	0.5279
7	28	0.25602
7	29	0.40871
7	30	0.94751
7	31	0.91928
7	32	0.12124
7	33	0.59194
7	34	0.35965
7	35	0.71931
7	36	0.52355
7	37	0.26084
7	38	0.49308
7	39	0.85584
7	40	0.72441
7	41	0.19911
7	42	0.15729
7	43	0.37048
7	44	0.86227
7	45	0.68476
7	46	0.6342
7	47	0.14132
7	48	0.079302
7	49	0.87615
7	50	0.42043
7	51	0.48766
7	52	0.46033
7	53	0.51568
7	54	0.27199
7	55	0.23158
7	56	0.89953
7	57	0.9087
7	58	0.60364
7	59	0.36524
7	60	0.59859
7	61	0.66849
7	62	0.89456
7	63	0.087336
7	64	0.53901
7	65	0.42845
7	66	0.61715
7	67	0.55888
7	68	0.22585
7	69	0.10452
7	70	0.0099777
7	71	0.059153
7	72	0.32265
7	73	0.77948
7	74	0.33548
7	75	0.61957
7	76	0.99289
7	77	0.64801
7	78	0.53978
7	79	0.23225
7	80	0.73983
7	81	0.88899
7	82	0.85981
7	83	0.59706
7	84	0.65475
7	85	0.91501
7	86	0.43318
7	87	0.28976
7	88	0.63188
7	89	0.29542
7	90	0.62203
7	91	0.047534
7	92	0.99461
7	93	0.20676
7	94	0.60736
7	95	0.34763
7	96	0.71774
7	97	0.027993
7	98	0.066842
7	99	0.92706
7	100	0.087772
7	101	0.3324
7	102	0.52618
7	103	0.24664
7	104	0.5429
7	105	0.78087
7	106	0.52188
7	107	0.93195
7	108	0.14711
7	109	0.41677
7	110	0.28029
7	111	0.5981
7	112	0.036475
7	113	0.063687
7	114	0.32288
7	115	0.098379
7	116	0.17004
7	117	0.37116
7	118	0.039762
7	119	0.70924
7	120	0.64134
7	121	0.17406
7	122	0.062152
7	123	0.40666
7	124	0.46306
7	125	0.20267
7	126	0.86955
7	127	0.59794
7	128	0.023014
7	129	0.89943
7	130	0.45295
7	131	0.058026
7	132	0.10627
7	133	0.99843
7	134	0.86633
7	135	0.61521
7	136	0.026944
7	137	0.32252
7	138	0.46378
7	139	0.099017
7	140	0.57099
7	141	0.32588
8	1	0.45049
8	2	0.57784
8	3	0.074844
8	4	0.057343
8	5	0.30096
8	6	0.52172
8	7	0.56188
8	8	0.24155
8	9	0.91272
8	10	0.82573
8	11	0.44455
8	12	0.98206
8	13	0.57827
8	14	0.23442
8	15	0.81059
8	16	0.45127
8	17	0.24997
8	18	0.95544
8	19	0.14265
8	20	0.51256
8	21	0.97193
8	22	0.64832
8	23	0.61467
8	24	0.46965
8	25	0.57778
8	26	0.91131
8	27	0.37622
8	28	0.22876
8	29	0.42352
8	30	0.2736
8	31	0.44457
8	32	0.62752
8	33	0.53464
8	34	0.38544
8	35	0.87345
8	36	0.30035
8	37	0.40003
8	38	0.51772
8	39	0.061825
8	40	0.23137
8	41	0.11849
8	42	0.09878
8	43	0.89028
8	44	0.033389
8	45	0.83903
8	46	0.50727
8	47	0.11372
8	48	0.49045
8	49	0.59944
8	50	0.090216
8	51	0.97822
8	52	0.65302
8	53	0.46113
8	54	0.86376
8	55	0.26283
8	56	0.82396
8	57	0.32898
8	58	0.9413
8	59	0.24411
8	60	0.95711
8	61	0.51082
8	62	0.56458
8	63	0.99372
8	64	0.77098
8	65	0.3138
8	66	0.057873
8	67	0.044074
8	68	0.81294
8	69	0.41207
8	70	0.38416
8	71	0.52313
8	72	0.89215
8	73	0.40592
8	74	0.60439
8	75	0.094804
8	76	0.33598
8	77	0.14484
8	78	0.24488
8	79	0.37897
8	80	0.27032
8	81	0.2156
8	82	0.63373
8	83	0.79972
8	84	0.20851
8	85	0.89626
8	86	0.74571
8	87	0.53639
8	88	0.96997
8	89	0.56488
8	90	0.21769
8	91	0.85776
8	92	0.862
8	93	0.3133
8	94	0.32698
8	95	0.84001
8	96	0.49253
8	97	0.051902
8	98	0.77802
8	99	0.42667
8	100	0.27996
8	101	0.33351
8	102	0.36694
8	103	0.79479
8	104	0.038691
8	105	0.72667
8	106	0.87268
8	107	0.28581
8	108	0.65685
8	109	0.23189
8	110	0.62195
8	111	0.075124
8	112	0.96676
8	113	0.60997
8	114	0.38372
8	115	0.03057
8	116	0.85757
8	117	0.60354
8	118	0.84784
8	119	0.50462
8	120	0.0079108
8	121	0.91907
8	122	0.4107
8	123	0.73237
8	124	0.15111
8	125	0.81523
8	126	0.9096
8	127	0.77794
8	128	0.75712
8	129	0.4052
8	130	0.7019
8	131	0.56546
8	132	0.58474
8	133	0.34491
8	134	0.70423
8	135	0.16086
8	136	0.0015139
8	137	0.562
8	138	0.54648
8	139	0.55083
8	140	0.69454
8	141	0.92749
9	1	0.94421
9	2	0.90326
9	3	0.60411
9	4	0.92621
9	5	0.11695
9	6	0.3408
9	7	0.03673
9	8	0.53837
9	9	0.73723
9	10	0.18122
9	11	0.42625
9	12	0.098168
9	13	0.30322
9	14	0.78012
9	15	0.53696
9	16	0.76907
9	17	0.63894
9	18	0.89315
9	19	0.06069
9	20	0.17577
9	21	0.41633
9	22	0.73979
9	23	0.89295
9	24	0.025853
9	25	0.13756
9	26	0.42409
9	27	0.76457
9	28	0.52444
9	29	0.75448
9	30	0.1698
9	31	0.67273
9	32	0.61865
9	33	0.0068461
9	34	0.74023
9	35	0.99174
9	36	0.12818
9	37	0.36058
9	38	0.19107
9	39	0.7144
9	40	0.17787
9	41	0.98685
9	42	0.016999
9	43	0.039796
9	44	0.80433
9	45	0.85979
9	46	0.56625
9	47	0.75411
9	48	0.51951
9	49	0.5859
9	50	0.19073
9	51	0.50344
9	52	0.050915
9	53	0.056096
9	54	0.3352
9	55	0.6309
9	56	0.89198
9	57	0.6734
9	58	0.68527
9	59	0.69574
9	60	0.79983
9	61	0.66061
9	62	0.51994
9	63	0.33174
9	64	0.93417
9	65	0.24648
9	66	0.51121
9	67	0.74032
9	68	0.25417
9	69	0.84558
9	70	0.53815
9	71	0.91014
9	72	0.35071
9	73	0.93532
9	74	0.92772
9	75	0.5877
9	76	0.10176
9	77	0.36688
9	78	0.27585
9	79	0.2661
9	80	0.22654
9	81	0.0013208
9	82	0.89301
9	83	0.4535
9	84	0.57842
9	85	0.31561
9	86	0.99402
9	87	0.98389
9	88	0.96455
9	89	0.66627
9	90	0.72616
9	91	0.33404
9	92	0.52277
9	93	0.27335
9	94	0.71838
9	95	0.77802
9	96	0.081064
9	97	0.22158
9	98	0.20396
9	99	0.6241
9	100	0.72521
9	101	0.83436
9	102	0.018895
9	103	0.20212
9	104	0.46909
9	105	0.3784
9	106	0.34039
9	107	0.063851
9	108	0.76134
9	109	0.40266
9	110	0.67429
9	111	0.55108
9	112	0.051457
9	113	0.3075
9	114	0.96544
9	115	0.93148
9	116	0.37803
9	117	0.61767
9	118	0.56253
9	119	0.83056
9	120	0.9577
9	121	0.075506
9	122	0.88802
9	123	0.56245
9	124	0.19436
9	125	0.22145
9	126	0.70576
9	127	0.59676
9	128	0.5863
9	129	0.96849
9	130	0.58174
9	131	0.0998
9	132	0.1666
9	133	0.10209
9	134	0.14625
9	135	0.67156
9	136	0.63985
9	137	0.37244
9	138	0.16287
9	139	0.38952
9	140	0.79998
9	141	0.39979
10	1	0.75512
10	2	0.29521
10	3	0.64001
10	4	0.88512
10	5	0.20964
10	6	0.48036
10	7	0.11299
10	8	0.13237
10	9	0.064002
10	10	0.079297
10	11	0.62695
10	12	0.41133
10	13	0.63859
10	14	0.85656
10	15	0.76358
10	16	0.97616
10	17	0.78154
10	18	0.93558
10	19	0.73915
10	20	0.25362
10	21	0.71925
10	22	0.69351
10	23	0.77332
10	24	0.74722
10	25	0.31838
10	26	0.51043
10	27	0.77307
10	28	0.57282
10	29	0.95385
10	30	0.17157
10	31	0.90724
10	32	0.75222
10	33	0.28618
10	34	0.62741
10	35	0.46283
10	36	0.12944
10	37	0.54938
10	38	0.96951
10	39	0.44214
10	40	0.59096
10	41	0.11097
10	42	0.19985
10	43	0.16296
10	44	0.036877
10	45	0.27272
10	46	0.23013
10	47	0.35854
10	48	0.13434
10	49	0.99859
10	50	0.51352
10	51	0.38785
10	52	0.24985
10	53	0.36475
10	54	0.39906
10	55	0.9263
10	56	0.49547
10	57	0.60919
10	58	0.0048085
10	59	0.58773
10	60	0.77746
10	61	0.65718
10	62	0.52831
10	63	0.82577
10	64	0.96243
10	65	0.31374
10	66	0.79709
10	67	0.28518
10	68	0.014895
10	69	0.09415
10	70	0.32872
10	71	0.30557
10	72	0.018022
10	73	0.16221
10	74	0.44399
10	75	0.76677
10	76	0.68126
10	77	0.71454
10	78	0.45978
10	79	0.91927
10	80	0.98894
10	81	0.9326
10	82	0.46152
10	83	0.90492
10	84	0.38645
10	85	0.60302
10	86	0.56032
10	87	0.84584
10	88	0.2848
10	89	0.66332
10	90	0.60226
10	91	0.65646
10	92	0.30993
10	93	0.33164
10	94	0.1882
10	95	0.10068
10	96	0.28656
10	97	0.35483
10	98	0.53576
10	99	0.99083
10	100	0.028178
10	101	0.70953
10	102	0.90516
10	103	0.86583
10	104	0.11917
10	105	0.95528
10	106	0.4409
10	107	0.87576
10	108	0.86495
10	109	0.35515
10	110	0.63115
10	111	0.86455
10	112	0.020992
10	113	0.07682
10	114	0.37671
10	115	0.14919
10	116	0.034097
10	117	0.78225
10	118	0.32725
10	119	0.81748
10	120	0.17362
10	121	0.67612
10	122	0.8756
10	123	0.75716
10	124	0.22963
10	125	0.35894
10	126	0.36316
10	127	0.26744
10	128	0.3373
10	129	0.086961
10	130	0.45156
10	131	0.45466
10	132	0.029036
10	133	0.6371
10	134	0.059459
10	135	0.1692
10	136	0.68468
10	137	0.55457
10	138	0.0060358
10	139	0.28809
10	140	0.37661
10	141	0.14649
11	1	0.074534
11	2	0.46074
11	3	0.37039
11	4	0.82456
11	5	0.53754
11	6	0.81752
11	7	0.46038
11	8	0.014034
11	9	0.0049832
11	10	0.16623
11	11	0.36594
11	12	0.71821
11	13	0.15942
11	14	0.27877
11	15	0.64494
11	16	0.2872
11	17	0.32193
11	18	0.15542
11	19	0.38766
11	20	0.89573
11	21	0.88777
11	22	0.39361
11	23	0.67546
11	24	0.25221
11	25	0.94999
11	26	0.62468
11	27	0.20695
11	28	0.10966
11	29	0.56585
11	30	0.27433
11	31	0.071165
11	32	0.15845
11	33	0.04952
11	34	0.68088
11	35	0.78176
11	36	0.80737
11	37	0.26505
11	38	0.8959
11	39	0.60799
11	40	0.014401
11	41	0.34403
11	42	0.53366
11	43	0.62776
11	44	0.44674
11	45	0.81111
11	46	0.14483
11	47	0.97483
11	48	0.83376
11	49	0.3401
11	50	0.61624
11	51	0.30376
11	52	0.089219
11	53	0.52153
11	54	0.82529
11	55	0.76393
11	56	0.94764
11	57	0.33355
11	58	0.38974
11	59	0.15041
11	60	0.3337
11	61	0.55368
11	62	0.55029
11	63	0.16042
11	64	0.11709
11	65	0.39855
11	66	0.83138
11	67	0.185
11	68	0.50079
11	69	0.12631
11	70	0.86463
11	71	0.76665
11	72	0.56435
11	73	0.38957
11	74	0.49014
11	75	0.8869
11	76	0.90505
11	77	0.49839
11	78	0.52923
11	79	0.9097
11	80	0.5786
11	81	0.77579
11	82	0.66139
11	83	0.46966
11	84	0.21977
11	85	0.60259
11	86	0.18426
11	87	0.19751
11	88	0.86199
11	89	0.12565
11	90	0.64558
11	91	0.43732
11	92	0.61261
11	93	0.73748
11	94	0.30328
11	95	0.042968
11	96	0.83551
11	97	0.36931
11	98	0.66134
11	99	0.89572
11	100	0.2741
11	101	0.9979
11	102	0.83435
11	103	0.79134
11	104	0.65661
11	105	0.54367
11	106	0.38668
11	107	0.82223
11	108	0.59533
11	109	0.78164
11	110	0.98767
11	111	0.78825
11	112	0.85292
11	113	0.48561
11	114	0.87376
11	115	0.33385
11	116	0.20532
11	117	0.49436
11	118	0.031209
11	119	0.82757
11	120	0.26426
11	121	0.6775
11	122	0.79386
11	123	0.68184
11	124	0.65076
11	125	0.23734
11	126	0.4774
11	127	0.93642
11	128	0.2411
11	129	0.20911
11	130	0.27247
11	131	0.77582
11	132	0.33141
11	133	0.60307
11	134	0.18401
11	135	0.087459
11	136	0.30892
11	137	0.23088
11	138	0.90919
11	139	0.93688
11	140	0.031879
11	141	0.59365
12	1	0.043818
